"namespace","name","type","cardinality","tags","description","validation","","displayName","source","","calculationFunction","calculationFunctionParameters","defaultFromField","defaulting","defaultValue"
"json_mapping","swapstream1_averagingmethod","String","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_calculationperioddates_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_calculationperioddates_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_calculationperioddates_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_calculationperioddates_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream1_calculationperiodfrequency","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_calculationperiodfrequency_rollconvention","EnumeratedString","One","","","lookup:RollConvention","","","","","","","","NONE",""
"json_mapping","swapstream1_calculationperiodstartdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_compoundingmethod","EnumeratedString","One","","","lookup:CompoundingMethod","","","","","","","","NONE",""
"json_mapping","swapstream1_daycountfraction","EnumeratedString","One","","","lookup:DayCountFraction","","","","","","","","NONE",""
"json_mapping","swapstream1_effectivedate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_effectivedate_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_effectivedate_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_effectivedate_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream1_finalstub_currency","EnumeratedString","One","","","lookup:Currency","","","","","","","","NONE",""
"json_mapping","swapstream1_finalstub_fixedrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_finalstub_floattenor1","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_finalstub_floattenor2","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_finalstub_stublength","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_finalstub_stubtype","EnumeratedString","One","","","lookup:StubType","","","","","","","","NONE",""
"json_mapping","swapstream1_firstnotionalstepdate","DateType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_fixedinitialrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_fixedrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_fixingdate_businesscenter1","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_fixingdate_businesscenter2","EnumeratedString","One","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_fixingdate_businesscenters","EnumeratedString","Many","","","lookup:BusinessCenter","","","","","","","","NONE",""
"json_mapping","swapstream1_fixingdate_businessdayconvention","EnumeratedString","One","","","lookup:BusinessDayConvention","","","","","","","","NONE",""
"json_mapping","swapstream1_fixingdate_daytype","EnumeratedString","One","","","lookup:DayType","","","","","","","","NONE",""
"json_mapping","swapstream1_fixingdate_offsettenor","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_floatingrateindex","EnumeratedString","One","","","lookup:FloatLegIndex","","","","","","","","NONE",""
"json_mapping","swapstream1_floatingraterounding","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_indextenor","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_initialnotionalvalue","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_initialstub_currency","EnumeratedString","One","","","lookup:Currency","","","","","","","","NONE",""
"json_mapping","swapstream1_initialstub_fixedrate","BigDecimal","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_initialstub_floattenor1","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_initialstub_floattenor2","TenorType","One","","","","","","","","","","","NONE",""
"json_mapping","swapstream1_initialstub_stublength","TenorType","One","","","","","","","","","","","NONE",""
