namespace,name,type,cardinality,description,validation,source
party,CTAInPlace,Boolean,One,CTA In Place,,
party,EUDomServices,Boolean,One,Party is an authorised investment firm providing investment services and/or performing investment activities in the EU,,
party,MasApprovedTrustee,Boolean,One,N/A,,
party,MasBank,Boolean,One,N/A,,
party,MasBankSubsidiary,Boolean,One,N/A,,
party,MasCapitalMarketLicensee,Boolean,One,N/A,,
party,MasFinanceCompany,Boolean,One,N/A,,
party,MasHeadOfficeSG,Boolean,One,N/A,,
party,MasIncorporatedSG,Boolean,One,N/A,,
party,MasInsurer,Boolean,One,N/A,,
party,MasMerchantBank,Boolean,One,N/A,,
party,MasSignificantDerivativeHolder,Boolean,One,N/A,,
party,SingaporeExemptPerson,Boolean,One,"1. The Government 2. Any statutory board established under any written law 3. Any central bank in a jurisdiction other than Singapore 4. Any central government in a jurisdiction other than Singapore 5. Any agency (of a central government in a jurisdiction other than Singapore) that is incorporated or established, in a jurisdiction other than Singapore, for non?commercial purposes 6. Any of the following multilateral agencies, organisations or entities: -the African Development Bank -the Asian Development Bank -the Bank for International Settlements -the European Bank for Reconstruction and Development -the European Economic Community -the European Investment Bank -the Inter?American Development Bank -the International Bank for Reconstruction and Development (World?Bank) -the International Finance Corporation -the International Monetary Fund",,
party,accountDomicileCountryCode,String,One,"The two letter ISO-CC code for the country of domicile. Drives the ""established in EU"" criterion for EMIR workflows.",,
party,accountID,String,One,Unique Party identifier used for search and display,,
party,accountName,String,One,Party Name used for search and  display,,
party,aifManager,Boolean,One,AIF Manager,,AIF Directive art. 4(1)(b)
party,alwaysCoveredBondExecution,Boolean,One,The client represents they are always entering derivative transactions to hedge European covered bond issuance.,,
party,alwaysFileEUEForClient,Boolean,One,Skip Standing Opt Out Annual Filing,,
party,amfDeemedDealer,Boolean,One,"For purpose of the Quebec reporting requirements only, party represents itself as a ""deemed dealer"" to report as if it were a registered dealer under AMF",,
party,amfDerivativesDealer,Boolean,One,Whether an entity is a registered as a dealer under the Derivatives Act (chapter I.14.01),,"Regulation 91-507 respecting trade repositories and derivatives data reporting (2013), par.1"
party,amfSpecialEntity,Boolean,One,"Whether an entity is one of the excluded entities from the application of this Regulation: (a) the Gouvernement du Quebec; (b) a body referred to in paragraph 2 of section 77 of the Financial Administration Act (chapter A-6.001); (c) a municipality, a metropolitan community, a school board or the Comite de gestion de la taxe scolaire de l'ile de Montreal; (d) a transit authority established under an Act of Quebec; (e) a public institution or regional council within the meaning of the Act respecting health services and social services for Cree Native persons (chapter S-5), a public institution or a health and social services agency referred to in the Act respecting health services and social services (chapter S-4.2), or the Corporation d'hebergement du Quebec; (f) a Quebec university; (g) a general and vocational college; (h) an inter-municipal management board.",,"Regulation 91-507 respecting trade repositories and derivatives data reporting (2013), par. 41"
party,appropriatenessInfo,Boolean,One,Information to assess appropriateness obtained,,"MiFID-II art. 25(3), MiFID-II Del. Reg. art. 56(1)"
party,asicForeignCompany,Boolean,One,A foreign company that is required to be registered under Division 2 of Part 5B.2 of the Corporations Act 2001,,"Corporations Act 2001, s761D (Austl.)"
party,asicReportingDelegate,String,One,LEI for the delegate appointed by the Reporting Entity to report on behalf of the Reporting Entity in accordance with Rules 2.2.1 to 2.2.5 and 2.2.8,,"ASIC Derivative Transaction Rules (Reporting) 2013, Rule 2.2.7 (Austl.)"
party,ateDocumenation,Boolean,One,ateDocumentation,,
party,ateDocumentation,Boolean,One,ATE Documentation,,
party,auForeignIntlActiveDealer,Boolean,One,"The party is a ��_��_��_foreign internationally active dealer��_� as defined in the ASIC Rules (Clearing), Art. 1.2.1 and Corporations Regulations 2001, section 7.5A.65.",,"ASIC Rules (Clearing), Art. 1.2.1 and Corporations Regulations 2001, section 7.5A.65"
party,auGrossNotionalOutstandingPositionPersonal,Integer,One,"The party��_�s ��_��_��_gross notional outstanding position,��_� expressed in AUD, when acting in their personal capacity, as defined in the ASIC Rules (Clearing), Art. 1.2.6.",,"ASIC Rules (Clearing), Art. 1.2.6"
party,auGrossNotionalOutstandingPositionRepresentative,Integer,One,"The party��_�s ��_��_��_gross notional outstanding position,��_� expressed in AUD, when acting in a representative capacity, as defined in the ASIC Rules (Clearing), Art. 1.2.6.",,"ASIC Rules (Clearing), Art. 1.2.6"
party,auNexusOptIn,Boolean,One,Whether an entity has provided Opt-in Notice and has not withdrawn that notice to use the alternative test for establishing AU nexus (Nexus Derivative Transaction or Nexus Derivative Position),,Australian Securities and Investments Commission Corporations Act?Paragraph 907D(2)(a)? Class Exemption
party,auReportingCounterpartyRepresentation,EnumeratedString,One,"If two parties have made representations to each other, such that one party is the Reporting Entity and the other party is the Exempt Entity electing single-sided exemption, then this attribute must be used to specify which side is the Reporting Entity",lookup:PartyRoleType,"Corporations Amendment (Central Clearing and Single-Sided Reporting) Regulation 2015, 7.5A.72"
party,austrailianFinServicesLicense,Boolean,One,Whether a person holds an Australian financial services licence within the meaning of section 761A of the Corporations Act 2001.,,"ASIC Derivative Transaction Rules (Reporting) 2013, Rule 1.2.3 (Austl.)"
party,australianPhase2ReportingThreshold,Boolean,One,Whether a party as at 31 December 2013 holds total gross notional outstanding positions of AUD $50 billion or more,,ASIC Derivative Transaction Rules (Reporting) 2013 S1.2.1
party,australianPhase3ReportingThreshold,Boolean,One,A party as at 30 June 2014 holds total gross notional outstanding positions of AUD $5 billion or more,,ASIC Derivative Transaction Rules (Reporting) 2013 S1.2.1
party,authorizedDepositInstitution,Boolean,One,Whether an Australian Entity is an Australian ADI within the meaning of section 9 of the Corporations Act 2001.,,"ASIC Derivative Transaction Rules (Reporting) 2013, Rule 1.2.3 (Austl.)"
party,bisBankruptcyRemoteness,Boolean,One,"The (contra)party has ��_��__��_��__��_��__bankruptcy remoteness.��_��__��_  Under Basel III, bankruptcy remoteness is satisfied if (i) the Initial Margin and any Additional Collateral Amount are held with the CCP and (ii) there is a Security Deed of Assignment in place between the client, the clearing member and the CCP.",,BIS Reg Cap
