"typeName","type","value"
"AssetClass","enumeratedString","Commodity"
"AssetClass","enumeratedString","Credit"
"AssetClass","enumeratedString","Equity"
"AssetClass","enumeratedString","ForeignExchange"
"AssetClass","enumeratedString","InterestRate"
"AssetClass","enumeratedString","StructuredProduct"
"BMRIndexUsage","enumeratedString","BorrowingRateProvision"
"BMRIndexUsage","enumeratedString","FinancialInstrumentIssuance"
"BMRIndexUsage","enumeratedString","FundPerformanceCalculation"
"BMRIndexUsage","enumeratedString","NotApplicable"
"BMRIndexUsage","enumeratedString","PartyToFinancialContract"
"BMRIndexUsage","enumeratedString","PaymentAmountDetermination"
"BaseProduct","enumeratedString","Agricultural"
"BaseProduct","enumeratedString","CapFloor"
"BaseProduct","enumeratedString","ComplexExotic"
"BaseProduct","enumeratedString","ContractForDifference"
"BaseProduct","enumeratedString","CrossCurrency"
"BaseProduct","enumeratedString","Energy"
"BaseProduct","enumeratedString","Environmental"
"BaseProduct","enumeratedString","Exotic"
"BaseProduct","enumeratedString","FRA"
"BaseProduct","enumeratedString","Forward"
"BaseProduct","enumeratedString","Freight"
"BaseProduct","enumeratedString","IRSwap"
"BaseProduct","enumeratedString","Index"
"BaseProduct","enumeratedString","IndexTranche"
"BaseProduct","enumeratedString","Metals"
"BaseProduct","enumeratedString","MultiCommodityExotic"
"BaseProduct","enumeratedString","NDF"
"BaseProduct","enumeratedString","NDO"
"BaseProduct","enumeratedString","Option"
"BaseProduct","enumeratedString","Other"
"BaseProduct","enumeratedString","PortfolioSwap"
"BaseProduct","enumeratedString","Rates"
"BaseProduct","enumeratedString","SimpleExotic"
"BaseProduct","enumeratedString","SingleName"
"BaseProduct","enumeratedString","Spot"
"BaseProduct","enumeratedString","Swap"
"BaseProduct","enumeratedString","Swaptions"
"BaseProduct","enumeratedString","TotalReturnSwap"
"BaseProduct","enumeratedString","TotalReturnSwapIndex"
"BaseProduct","enumeratedString","VanillaOption"
"BlockEntryType","enumeratedString","API"
"BlockEntryType","enumeratedString","FacilityEntry"
"BlockEntryType","enumeratedString","Voice"
"BroadVsNarrow","enumeratedString","Broad"
"BroadVsNarrow","enumeratedString","Narrow"
"BusinessCenter","enumeratedString","AEAD"
"BusinessCenter","enumeratedString","AEDU"
"BusinessCenter","enumeratedString","AMYE"
"BusinessCenter","enumeratedString","AOLU"
"BusinessCenter","enumeratedString","ARBA"
"BusinessCenter","enumeratedString","ATVI"
"BusinessCenter","enumeratedString","AUAD"
"BusinessCenter","enumeratedString","AUBR"
"BusinessCenter","enumeratedString","AUME"
"BusinessCenter","enumeratedString","AUPE"
"BusinessCenter","enumeratedString","AUSY"
"BusinessCenter","enumeratedString","BBBR"
"BusinessCenter","enumeratedString","BDDH"
"BusinessCenter","enumeratedString","BEBR"
"BusinessCenter","enumeratedString","BGSO"
"BusinessCenter","enumeratedString","BHMA"
"BusinessCenter","enumeratedString","BMHA"
"BusinessCenter","enumeratedString","BNBS"
"BusinessCenter","enumeratedString","BOLP"
"BusinessCenter","enumeratedString","BRBD"
"BusinessCenter","enumeratedString","BRBR"
"BusinessCenter","enumeratedString","BRRJ"
"BusinessCenter","enumeratedString","BRSP"
"BusinessCenter","enumeratedString","BSNA"
"BusinessCenter","enumeratedString","BWGA"
"BusinessCenter","enumeratedString","CACL"
"BusinessCenter","enumeratedString","CAMO"
"BusinessCenter","enumeratedString","CAOT"
"BusinessCenter","enumeratedString","CATO"
"BusinessCenter","enumeratedString","CAVA"
"BusinessCenter","enumeratedString","CAWI"
"BusinessCenter","enumeratedString","CHBA"
"BusinessCenter","enumeratedString","CHGE"
"BusinessCenter","enumeratedString","CHZU"
"BusinessCenter","enumeratedString","CIAB"
"BusinessCenter","enumeratedString","CLSA"
"BusinessCenter","enumeratedString","CNBE"
"BusinessCenter","enumeratedString","CNSH"
"BusinessCenter","enumeratedString","COBO"
"BusinessCenter","enumeratedString","CRSJ"
"BusinessCenter","enumeratedString","CYNI"
"BusinessCenter","enumeratedString","CZPR"
"BusinessCenter","enumeratedString","DECO"
"BusinessCenter","enumeratedString","DEDU"
"BusinessCenter","enumeratedString","DEFR"
"BusinessCenter","enumeratedString","DELE"
"BusinessCenter","enumeratedString","DEMA"
"BusinessCenter","enumeratedString","DEMU"
"BusinessCenter","enumeratedString","DEST"
"BusinessCenter","enumeratedString","DKCO"
"BusinessCenter","enumeratedString","DOSD"
"BusinessCenter","enumeratedString","DZAL"
"BusinessCenter","enumeratedString","EETA"
"BusinessCenter","enumeratedString","EGCA"
"BusinessCenter","enumeratedString","ESAS"
"BusinessCenter","enumeratedString","ESBA"
"BusinessCenter","enumeratedString","ESMA"
"BusinessCenter","enumeratedString","ETAA"
"BusinessCenter","enumeratedString","EUTA"
"BusinessCenter","enumeratedString","FIHE"
"BusinessCenter","enumeratedString","FRPA"
"BusinessCenter","enumeratedString","GBED"
"BusinessCenter","enumeratedString","GBLO"
"BusinessCenter","enumeratedString","GGSP"
"BusinessCenter","enumeratedString","GHAC"
"BusinessCenter","enumeratedString","GRAT"
"BusinessCenter","enumeratedString","HKHK"
"BusinessCenter","enumeratedString","HNTE"
"BusinessCenter","enumeratedString","HRZA"
"BusinessCenter","enumeratedString","HUBU"
"BusinessCenter","enumeratedString","IDJA"
"BusinessCenter","enumeratedString","IEDU"
"BusinessCenter","enumeratedString","ILJE"
"BusinessCenter","enumeratedString","ILTA"
"BusinessCenter","enumeratedString","INBA"
"BusinessCenter","enumeratedString","INCH"
"BusinessCenter","enumeratedString","INHY"
"BusinessCenter","enumeratedString","INMU"
"BusinessCenter","enumeratedString","INND"
"BusinessCenter","enumeratedString","IRTE"
"BusinessCenter","enumeratedString","ISRE"
"BusinessCenter","enumeratedString","ITMI"
"BusinessCenter","enumeratedString","ITRO"
"BusinessCenter","enumeratedString","ITTU"
"BusinessCenter","enumeratedString","JESH"
"BusinessCenter","enumeratedString","JMKI"
"BusinessCenter","enumeratedString","JOAM"
"BusinessCenter","enumeratedString","JPTO"
"BusinessCenter","enumeratedString","KENA"
"BusinessCenter","enumeratedString","KRSE"
"BusinessCenter","enumeratedString","KWKC"
"BusinessCenter","enumeratedString","KYGE"
"BusinessCenter","enumeratedString","KZAL"
"BusinessCenter","enumeratedString","LBBE"
"BusinessCenter","enumeratedString","LKCO"
"BusinessCenter","enumeratedString","LULU"
"BusinessCenter","enumeratedString","LVRI"
"BusinessCenter","enumeratedString","MACA"
"BusinessCenter","enumeratedString","MARA"
"BusinessCenter","enumeratedString","MCMO"
"BusinessCenter","enumeratedString","MOMA"
"BusinessCenter","enumeratedString","MTVA"
"BusinessCenter","enumeratedString","MUPL"
"BusinessCenter","enumeratedString","MVMA"
"BusinessCenter","enumeratedString","MWLI"
"BusinessCenter","enumeratedString","MXMC"
"BusinessCenter","enumeratedString","MYKL"
"BusinessCenter","enumeratedString","MYLA"
"BusinessCenter","enumeratedString","NAWI"
"BusinessCenter","enumeratedString","NGAB"
"BusinessCenter","enumeratedString","NGLA"
"BusinessCenter","enumeratedString","NLAM"
"BusinessCenter","enumeratedString","NLRO"
"BusinessCenter","enumeratedString","NOOS"
"BusinessCenter","enumeratedString","NPKA"
"BusinessCenter","enumeratedString","NYFD"
"BusinessCenter","enumeratedString","NYSE"
"BusinessCenter","enumeratedString","NZAU"
"BusinessCenter","enumeratedString","NZWE"
"BusinessCenter","enumeratedString","OMMU"
"BusinessCenter","enumeratedString","PAPC"
"BusinessCenter","enumeratedString","PELI"
"BusinessCenter","enumeratedString","PHMA"
"BusinessCenter","enumeratedString","PKKA"
"BusinessCenter","enumeratedString","PLWA"
"BusinessCenter","enumeratedString","PRSJ"
"BusinessCenter","enumeratedString","PTLI"
"BusinessCenter","enumeratedString","QADO"
"BusinessCenter","enumeratedString","ROBU"
"BusinessCenter","enumeratedString","RSBE"
"BusinessCenter","enumeratedString","RUMO"
"BusinessCenter","enumeratedString","SAAB"
"BusinessCenter","enumeratedString","SAJE"
"BusinessCenter","enumeratedString","SARI"
"BusinessCenter","enumeratedString","SEST"
